1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,11,11,11,11,11,11,11,11,11,11,11,11,3,1,1
8,8,8,8,8,8,8,8,8,8,8,8,8,6,1,1
7,7,7,7,7,7,7,7,7,7,7,5,8,11,11,11
1,1,1,1,1,1,1,1,1,1,9,5,8,8,8,8
1,1,1,1,0,0,0,0,0,0,9,2,7,7,7,7
1,1,1,1,0,1,1,1,1,0,9,9,9,1,1,1
1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,1,9,1,1,1
1,1,1,1,1,1,1,1,0,0,0,1,9,1,1,1
9,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1
1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
